[3.083340,3.141593]
[1.201194,1.889271]
[0.237780,-2.552634]
[1.023848,-1.730372]
[0.837214,0.581064]
[0.933560,-2.402962]
[0.728811,0.906357]
[0.905829,-2.386620]
[0.707793,1.351637]
[1.981106,-2.029605]
[0.607283,0.374305]
[1.341716,-1.576180]
[1.347519,2.536024]
[0.782986,0.073597]
[0.401933,-1.761784]
[0.321029,-1.713505]
[0.184156,-2.944719]
[1.577502,2.362703]
[0.602014,0.033483]
[1.176452,2.039863]
[1.259175,0.802996]
[0.889822,-2.458515]
[0.764957,0.461227]
[1.309545,-1.451449]
[1.129600,3.120282]
[1.809277,2.799929]
[1.042372,-0.167365]
[1.020496,-2.111195]
[1.150700,2.123616]
[0.629108,-1.109468]
[0.831104,-1.745890]
[0.763832,1.099944]
[1.273303,-2.579743]
[0.973655,2.179678]
[0.361780,-0.481004]
[1.050619,2.329801]
[0.734012,-0.386213]
[0.174645,-1.748717]
[1.108639,-3.073096]
[1.260913,2.057112]
[0.579043,-1.670528]
[1.576744,2.392513]
[0.180939,-0.350575]
[1.305282,0.028910]
[1.463740,-2.438692]
[0.203720,-1.990186]
[0.368980,-2.321136]
[1.172809,0.912676]
[1.961406,-1.943497]
[1.857412,2.839440]
[1.232508,0.869275]
[0.808011,0.044288]
[1.306068,-1.437600]
[2.462430,2.653643]
[0.571240,-0.324271]
[0.348955,1.293445]
[1.493058,-0.400207]
[1.069756,0.318056]
[2.070248,2.735201]
[1.728332,0.545929]
[2.446662,-1.429053]
[1.791562,2.092215]
[0.915549,-2.965538]
[0.680993,0.722427]
[1.125797,-2.665385]
[1.479075,0.945430]
[1.798618,-1.124059]
[1.952107,2.515054]
[0.484988,0.849403]
[0.643722,-2.997536]
[1.238782,0.488262]
[1.239997,-3.076405]
[0.494808,-0.031037]
[0.576216,-0.366955]
[1.048604,-1.247878]
[1.489109,-2.908367]
[0.429914,1.320603]
[0.656997,1.688571]
[0.086913,2.762315]
[0.875839,1.131796]
[0.995169,-1.785323]
[0.775410,-1.746700]
[0.084512,-1.211110]
[0.590806,2.071013]
[1.073614,-1.135907]
[0.793094,-1.454706]
[1.452447,2.477397]
[1.250078,-1.333667]
[0.922757,2.647141]
[2.240005,0.347355]
[1.892835,-2.748459]
[1.475245,-2.790077]
[0.399553,-1.125861]
[0.279336,1.538647]
[0.983003,1.614361]
[0.820483,-0.061938]
[1.781405,-2.083875]
[0.560754,1.610629]
[0.327669,2.085231]
[0.791838,-1.055607]
[0.205560,0.514292]
[0.885342,-1.857488]
[1.642760,1.100385]
[1.881207,-1.385826]
[1.337504,-3.055160]
[1.733506,0.091732]
[1.744856,-3.056333]
[0.375862,0.060141]
[0.977246,-3.015039]
[0.300200,0.655783]
[1.271811,2.595481]
[1.110096,-2.079415]
[0.468467,-1.302847]
[1.183179,3.121445]
[0.287092,-2.652938]
[1.294598,-1.164408]
[1.252019,1.673610]
[1.051886,-1.484607]
[0.697861,1.399065]
[0.868478,0.614986]
[0.925873,-1.584446]
[0.346399,-1.416023]
[0.934792,1.854221]
[1.564517,-2.769372]
[1.313182,0.027853]
[0.549673,1.930096]
[1.287600,-1.256896]
[1.685999,-2.621580]
[1.803818,2.387893]
[1.905075,0.396378]
[0.074878,-0.479391]
[0.968893,-2.664744]
[1.028273,-3.117103]
[0.498673,1.438268]
[0.201584,-1.434189]
[0.488665,2.306390]
[1.470235,1.331558]
[1.099450,-1.364297]
[0.949841,2.754932]
[1.166062,1.398782]
[1.135864,-0.562174]
[1.886678,2.999199]
[0.321170,1.593447]
[0.638286,-2.606713]
[0.612919,-0.072290]
[1.460058,-2.382859]
[0.355322,-2.490168]
[0.395753,-1.072587]
[0.694679,1.408554]
[0.034453,-1.157585]
[0.722865,-2.990184]
[0.332981,2.012031]
[0.723294,0.045312]
[0.692558,1.594932]
[0.383484,0.569938]
[0.393971,3.080406]
[0.325469,-0.475802]
[0.498557,-2.482607]
[0.096352,-2.459427]
[0.332701,1.987880]
[1.288932,-2.451837]
[0.101048,0.291697]
[0.525032,2.624364]
[1.371714,-0.781591]
[0.752454,-2.070965]
[1.684227,1.015941]
[0.946781,2.822405]
[0.260836,1.781260]
[0.720485,2.964527]
[1.249824,0.171415]
[1.210935,3.014142]
[1.403115,1.474428]
[0.345865,-1.775246]
[1.466116,2.946834]
[0.486196,-0.085349]
[1.594260,-0.088298]
[0.353225,0.880108]
[1.175048,2.064906]
[0.410779,-0.265294]
[0.361326,2.526051]
[1.235615,0.428471]
[0.961944,-1.104560]
[0.717276,-2.712080]
[1.074764,-2.157664]
[1.962063,0.686804]
[1.721166,-0.667589]
[1.004217,-0.861585]
[1.640097,1.508269]
[0.264835,3.128238]
[0.880611,0.203745]
[0.831376,0.994104]
[1.293050,-1.580361]
[1.101299,3.013432]
[0.734283,-0.087647]
[1.367218,-2.024480]
[1.159544,1.685467]
[0.515663,2.640153]
[1.110786,-1.679252]
[1.769434,-3.114008]
[1.995397,-0.126700]
[1.540122,-2.417993]
[0.663831,1.429479]
[0.518071,-1.934390]
[0.397639,-0.159623]
[0.465028,0.875927]
[1.403766,-0.841341]
[0.882756,-2.066762]
[1.130969,2.852788]
[0.608820,1.973924]
[1.020492,2.673748]
[0.367960,0.263494]
[0.459719,2.303502]
[0.279229,-1.704444]
[1.150386,-2.456028]
[1.469423,2.672707]
[1.184301,0.225590]
[0.686819,2.151303]
[0.880275,-1.288149]
[0.706081,-2.012988]
[0.871156,2.961509]
[0.998898,1.173244]
[0.277112,-0.280463]
[0.549530,-1.055601]
[1.088706,1.687706]
[0.594935,2.070062]
[1.895087,1.517303]
[0.752542,-0.415890]
[0.303251,0.002732]
[1.107565,2.836724]
[0.513187,-0.445259]
[1.468287,2.208780]
[0.722863,2.555264]
[0.564349,-1.523296]
[0.511644,2.038426]
[0.883679,-1.968897]
[0.559209,2.224400]
[0.857904,-2.675277]
[1.046324,1.943954]
[0.300602,1.307787]
[0.708221,2.954081]
[0.584383,-2.104184]
[0.711237,1.047743]
[0.017039,2.433824]
[0.477148,2.966825]
[0.662525,-0.811659]
[0.718767,2.048556]
[0.748306,1.163768]
[1.696783,-1.910231]
[0.734800,2.430368]
[0.774704,0.634173]
[1.721737,-2.007197]
[0.542239,-2.791672]
[0.443009,-2.531492]
[0.621880,0.467526]
[0.777387,-2.644987]
[1.843083,1.615249]
[2.744610,-1.194993]
[1.568345,3.076318]
[0.699053,1.326836]
[0.897710,2.090958]
[1.520429,-0.994028]
[1.036517,-2.857156]
[1.000319,1.174209]
[0.900764,1.572820]
[0.787114,-2.059690]
[1.141038,1.716262]
[1.741715,-1.378046]
[1.237758,-3.120989]
[1.217044,1.250107]
[2.073394,-1.242515]
[1.328984,3.121743]
[1.347177,0.550045]
[1.540688,-0.817134]
[1.428756,-3.016993]
[0.595091,-2.437846]
[0.744724,-2.161717]
[0.978527,2.802720]
[1.748399,1.142448]
[1.098584,-1.875918]
[0.505040,-2.617031]
[0.263710,1.019855]
[1.272603,-0.235850]
[1.510065,-2.294015]
[0.988869,2.101617]
[1.013304,-1.039974]
[0.761052,2.153727]
[0.824765,0.235581]
[2.146859,-1.261266]
[1.699597,2.178869]
[0.587556,-0.440454]
[1.261216,2.780114]
[1.098573,-0.814711]
[1.905866,2.725353]
[1.437311,0.591647]
[1.628985,-1.775531]
[0.572508,-2.373844]
[1.134719,2.785948]
[0.656794,-1.264312]
[1.172839,-2.606010]
[0.689118,2.837770]
[1.283241,1.145231]
[0.588237,-1.162124]
[1.663788,-2.365289]
[0.571635,2.948865]
[1.213810,1.713666]
[0.306964,-0.450238]
[1.148844,-1.941241]
[1.181243,2.243150]
[1.875225,1.064683]
[2.229268,-0.662342]
[1.940024,2.797980]
[0.863987,2.703354]
[0.159766,1.004318]
[0.974763,-2.805608]
[1.237633,0.647499]
[0.673620,3.012747]
[1.149956,0.914411]
[1.246881,-0.741997]
[0.578201,2.750978]
[1.002897,2.841017]
[0.516385,2.252139]
[1.260871,-2.928122]
[1.669699,0.977108]
[1.514754,-0.691397]
[0.939670,-3.015241]
[1.478843,1.658659]
[1.320663,-1.243169]
[0.695543,3.056926]
[2.030224,2.004409]
[0.781533,0.180895]
[0.842390,-2.218332]
[0.321642,-0.842750]
[1.524527,-3.130996]
[0.960726,0.407922]
[1.307707,-2.386375]
[1.702078,-3.042721]
[1.962236,0.765202]
[1.647596,-1.234241]
[1.018340,-2.984419]
[0.859135,-1.629293]
[0.836409,2.817848]
[1.218553,1.122080]
[1.627669,0.017708]
[1.372788,-2.570819]
[1.169446,-2.998490]
[0.510818,2.404070]
[1.536280,0.583871]
[2.131847,-1.895091]
[1.523326,2.556348]
[0.839546,-1.264420]
[0.885053,-2.024460]
[0.580110,1.834837]
[0.932012,-0.775445]
[1.735547,-2.113221]
[1.262886,1.818824]
[0.802537,1.435359]
[1.828884,-1.148618]
[1.126264,2.664661]
[0.370870,1.081943]
[0.616843,2.093484]
[1.113655,1.598327]
[0.215149,2.367597]
[1.194502,-0.070226]
[0.872191,2.739270]
[1.462245,1.586829]
[0.375900,-1.265578]
[0.839049,1.705280]
[0.784975,-2.996864]
[0.048562,-0.423206]
[0.511873,-0.783069]
[0.192250,-1.262683]
[1.082978,2.394637]
[0.697067,-0.890589]
[1.352066,2.138964]
[0.883660,-0.223934]
[0.751873,3.125675]
[0.972808,1.847005]
[0.692736,-1.577269]
[1.323957,-2.850372]
[1.103125,1.347470]
[0.369518,-2.011491]
[0.676687,-3.112065]
[1.027680,0.991263]
[1.259358,-0.208842]
[2.544457,-2.016279]
[2.264079,2.602553]
[1.626319,1.157529]
[1.193907,-0.409862]
[0.725554,3.139995]
[1.023036,2.668587]
[0.392212,0.972733]
[1.508108,3.042113]
[0.542318,-2.732371]
[1.084597,0.702718]
[0.802617,-1.809416]
[0.290182,2.074006]
[0.954593,2.231752]
[0.381034,0.209336]
[0.707361,2.492108]
[0.790862,1.658944]
[0.433012,-2.617001]
[0.530685,-1.768964]
[0.516865,-1.518869]
[0.824298,-2.132377]
[0.484331,2.667266]
[0.668166,0.187694]
[0.974262,-1.375782]
[0.861514,-2.525925]
[0.427745,-1.558249]
[0.980092,-1.389503]
[0.708791,2.176877]
[1.148536,0.654462]
[1.142075,-2.438704]
[0.460555,0.544356]
[1.131248,-2.484545]
[0.105454,-0.941696]
[0.881007,1.045459]
[1.496482,-2.657640]
[1.182326,2.722151]
[1.541690,0.931208]
[1.110708,-0.038526]
[1.377772,2.596227]
[1.226958,1.780109]
[0.965919,-0.636769]
[0.448718,2.223430]
[0.439190,-2.585407]
[0.547982,2.585378]
[0.506180,0.047688]
[1.076506,0.492863]
[0.238319,0.568159]
[1.189866,2.494116]
[0.998415,-0.929095]
[1.038147,-1.656373]
[2.227428,1.168576]
[0.464207,-0.069987]
[0.884667,-1.389417]
[1.488952,1.567536]
[1.645625,-0.383317]
[1.660881,-1.676648]
[1.716671,-3.009853]
[2.746378,0.237223]
[2.505370,-0.654343]
[0.511916,-0.269343]
[1.434638,1.911732]
[0.454362,-1.434305]
[1.161885,2.078294]
[1.896670,0.362754]
[0.537272,-0.265004]
[1.269771,-2.868022]
[0.874898,-0.749836]
[0.977050,-0.593916]
[1.758364,2.999859]
[2.130099,1.208911]
[2.011153,-1.529912]
[0.551968,2.859762]
[1.736225,-1.198883]
[1.555747,-1.268911]
[0.769390,2.829954]
[1.149246,0.535500]
[0.901885,-1.438720]
[2.019270,-2.867592]
[0.255474,1.252732]
[1.691410,-0.051734]
[1.181980,-2.001913]
[1.524246,2.435669]
[1.097667,1.988901]
[0.562957,-0.562588]
[1.735303,2.660613]
[0.875109,-0.283860]
[1.497139,-1.614924]
[0.367447,2.967495]
[1.234719,-3.001886]
[0.290851,-0.201946]
[1.643740,-1.066961]
[0.315118,-0.172148]
[0.322156,-0.184507]
[1.115508,2.597034]
[1.277652,1.077750]
[1.165029,-1.073215]
[1.252941,-3.095230]
[1.240557,1.267585]
[0.583238,-1.372871]
[1.545357,2.695819]
[1.428899,1.135900]
[0.702543,-0.466043]
[0.522103,0.761333]
[1.276198,-2.063966]
[1.391229,1.874616]
[1.753205,1.407538]
[1.053187,-1.390493]
[1.183314,2.452210]
[0.648366,-1.080771]
[1.307244,-1.986689]
[1.187129,1.950419]
[1.461458,-3.112830]
[0.089505,-1.050511]
[0.810946,-2.247024]
[0.718335,-1.296144]
[0.720596,0.991658]
[0.672704,2.405469]
[0.392134,-1.663158]
[0.581171,-2.638921]
[0.953103,1.756187]
[0.998823,0.543187]
[0.360102,-1.648607]
[0.546386,-2.232294]
[0.742307,2.068437]
[0.904628,3.037415]
[0.729120,0.875862]
[1.325745,-0.250349]
[1.551554,-2.723741]
[1.133412,0.900577]
[1.454699,2.124423]
[0.844034,-0.630385]
[1.704020,-1.958971]
[0.841012,-0.556453]
[0.888465,2.994874]
[0.529324,-2.854172]
[0.736160,-2.728914]
[1.218198,0.433545]
[0.492938,-0.371658]
[1.200023,-2.373922]
[1.184801,1.572905]
[0.781052,-1.580518]
[0.744382,-3.014806]
[0.908770,3.045667]
[1.001323,1.416436]
[1.105758,-0.408233]
[0.899339,-2.994379]
[0.659839,0.715909]
[0.674514,-0.364403]
[0.886924,-2.713727]
[0.561201,-2.831852]
[0.522451,1.977518]
[0.425671,1.256240]
[1.743065,-1.853992]
[0.517276,2.888932]
[0.622955,-2.853780]
[1.160036,2.650350]
[0.402568,0.556213]
[1.095733,-1.552604]
[1.301168,-2.919510]
[2.033036,1.690872]
[0.868067,1.244645]
[1.608278,-0.641633]
[1.418677,-2.276545]
[1.732988,1.862125]
[0.533461,0.989238]
[0.340199,-1.674489]
[0.639577,2.376500]
[0.453776,1.617174]
[0.519507,-1.895296]
[0.180177,-0.885552]
[0.469272,-2.610682]
[0.727964,-2.614942]
[0.414071,2.977099]
[0.787672,-1.275725]
[0.358295,0.116903]
[1.246148,1.849232]
[1.277616,2.406978]
[1.031849,-1.488007]
[0.946487,1.130336]
[0.350738,0.455289]
[1.054692,2.721774]
[0.603190,0.647332]
[0.176878,2.012431]
[0.765374,0.664535]
[0.571679,-1.396887]
[0.463599,2.541944]
[1.708995,2.647287]
[0.848157,-2.655204]
[0.700513,0.660422]
[0.066773,1.512466]
[0.854687,1.273714]
[0.746260,-2.797414]
[0.581112,0.820885]
[1.051963,-1.451006]
[0.589262,1.838837]
[1.285925,-3.095074]
[1.647006,2.321317]
[1.135977,-0.232764]
[0.482430,-0.393515]
[1.307532,2.265052]
[0.880757,-1.545407]
[0.657499,-2.781158]
[1.735575,2.255767]
[1.466938,1.090122]
[1.717720,-1.115132]
[1.172995,2.711030]
[0.774739,-0.620245]
[0.233130,1.200163]
[0.549138,1.402055]
[1.067764,-2.456106]
[1.119820,2.447045]
[1.438322,0.767820]
[1.273973,2.711844]
[1.598564,-0.823600]
[1.082508,-2.311888]
[0.988336,1.864742]
[1.012587,0.884723]
[0.864767,1.154970]
[1.201517,-2.121389]
[1.527911,-2.070129]
[2.056783,2.226731]
[1.198791,0.245053]
[1.452785,-1.525883]
[0.686911,-2.753409]
[0.932410,2.327262]
[0.402762,2.341237]
[0.642631,-0.344682]
[0.111838,-2.132009]
[0.488423,0.813037]
[0.458212,2.372702]
[0.604049,-0.328241]
[0.226403,-1.940959]
[0.143914,1.597434]
[0.133305,1.721722]
[1.121205,2.602953]
[0.287300,1.809407]
[0.727850,-0.385439]
[0.456952,-0.553364]
[1.454835,-3.081418]
[0.565809,-1.203784]
[1.069458,-0.399307]
[1.746080,2.405007]
[0.902642,1.128874]
[1.820266,-1.107127]
[0.230643,1.333857]
[1.624644,2.835755]
[1.291411,0.619976]
[0.351732,0.499138]
[0.712694,-1.631472]
[0.937900,-1.410469]
[1.032138,1.825816]
[1.557595,-2.085532]
[1.333053,2.752881]
[2.221456,1.636999]
[1.182440,-1.307079]
[1.572643,-2.393699]
[1.565743,2.664706]
[1.745402,0.371164]
[1.303587,-1.741928]
[2.059928,2.710654]
[1.352724,1.750401]
[0.689095,-0.591056]
[0.692359,-2.967429]
[0.537167,-2.252699]
[0.344497,0.929037]
[0.247176,-1.398349]
[1.653974,-2.844711]
[1.095169,-0.018855]
[0.678491,1.499043]
[0.453772,-1.427637]
[0.761156,-2.589048]
[1.126903,0.775897]
[0.625509,2.903613]
[0.448372,1.003849]
[0.233338,-1.638404]
[1.077334,-2.972685]
[1.301904,1.789138]
[0.365446,1.551046]
[0.195430,2.765893]
[0.465155,0.697824]
[0.808662,-0.376324]
[0.511923,-2.400784]
[0.617856,1.517427]
[0.606088,-1.615133]
[1.096858,-1.404262]
[0.582512,-0.088349]
[0.669737,-1.927314]
[0.968769,1.936456]
[1.044465,-1.961682]
[0.627036,-2.324305]
[1.036751,-1.584806]
[0.980621,-2.607074]
[1.103126,3.117339]
[1.069266,0.176820]
[0.265250,1.986393]
[1.257105,2.273225]
[1.084543,1.495265]
[0.807723,-1.932470]
[1.699432,2.059744]
[1.032659,-0.081202]
[0.644041,2.503912]
[1.008210,0.627267]
[1.356256,2.905949]
[0.819700,0.884746]
[0.668689,-1.111821]
[0.435449,-0.958382]
[1.576006,-2.770470]
[1.293274,0.302174]
[0.345273,-1.249002]
[0.120799,-1.574897]
[1.026008,0.377966]
[0.779708,-1.718049]
[2.501491,-2.092475]
[2.310475,0.979235]
[2.092262,0.066543]
[1.614989,-1.327676]
[1.663229,1.464036]
[0.780186,-0.029099]
[0.796410,2.912385]
[2.053249,1.418907]
[1.608612,-0.426671]
[1.727970,-2.328389]
[1.572651,1.555762]
[1.644016,-0.459433]
[0.708996,-2.512826]
[2.230790,2.333739]
[1.083726,0.025840]
[1.007426,-1.998375]
[1.769292,2.121530]
[2.029267,-0.921988]
[2.565259,-1.925879]
[0.691689,2.763692]
[1.184188,1.223110]
[1.398705,-1.966016]
[1.350964,-2.943005]
[0.686675,-0.347993]
[1.165021,0.470200]
[0.136458,-1.047427]
[0.418615,-3.011636]
[1.273911,-2.958424]
[1.110859,1.316117]
[0.729275,2.512581]
[0.443408,0.270881]
[0.816702,-1.666508]
[0.674333,0.954292]
[0.366017,1.027584]
[0.823648,0.482030]
[1.159464,-1.871545]
[0.796892,2.871189]
[0.346485,0.926271]
[1.072984,0.240174]
[0.951213,-1.740028]
[0.489449,-1.200750]
[0.757536,-2.653025]
[1.002271,0.145049]
[0.427072,1.567126]
[1.448910,-1.491738]
[0.707785,3.087493]
[0.821484,1.079253]
[0.321913,1.767875]
[0.690404,-1.722665]
[0.541975,2.650881]
[0.434106,-1.316267]
[1.273551,2.646707]
[0.612681,0.288311]
[0.853438,-1.787707]
[0.394590,-1.989682]
[1.101665,-3.014182]
[0.719554,1.175302]
[0.973482,0.405639]
[0.798401,-2.332025]
[0.530899,0.261472]
[1.030777,-1.688620]
[1.481122,2.572929]
[0.314720,-1.225366]
[1.495142,-1.404051]
[0.326119,2.822945]
[1.235684,1.447767]
[0.931028,-0.990701]
[0.556520,2.498589]
[1.132269,-2.272227]
[0.883003,3.052164]
[0.261542,2.986654]
[0.565281,-0.502043]
[0.374267,-2.482122]
[1.305562,1.469882]
[0.436693,-1.388696]
[1.700622,2.508626]
[0.511523,-2.234077]
[1.320813,-0.831041]
[0.749104,1.788611]
[0.638531,2.422069]
[1.458606,-2.025230]
[1.014634,0.169159]
[0.075023,0.294263]
[0.693707,-2.056072]
[0.973898,3.132558]
[1.583392,-1.090563]
[0.989496,-2.941410]
[0.925271,2.167310]
[0.920692,2.761650]
[0.373522,-0.813021]
[0.643435,2.525901]
[0.594023,1.696724]
[0.483757,1.383371]
[0.727928,3.068369]
[0.784811,-2.341104]
[0.635083,-3.004354]
[0.378027,1.027635]
[0.629370,0.583536]
[0.921036,0.344674]
[0.395616,-0.480131]
[0.060733,3.066119]
[0.498158,-0.438973]
[0.401549,2.664332]
[0.520902,-2.064099]
[1.532619,-3.102231]
[0.615436,1.956993]
[0.306542,-0.562989]
[0.462674,-0.994024]
[0.562116,-2.444724]
[1.062490,-3.039528]
[0.859458,-1.907343]
[0.893424,1.751213]
[0.648626,1.753254]
[0.708393,-3.073005]
[0.137170,0.863992]
[0.500358,-2.087034]
[0.402969,2.952465]
[1.085091,1.504887]
[0.228852,-0.239573]
[0.985601,-0.954726]
[1.319848,2.456395]
[1.568272,1.722597]
[1.499360,-1.164930]
[1.240426,-1.404980]
[1.121501,2.273326]
[0.907985,-0.996781]
[0.855348,2.634389]
[0.404277,1.933989]
[0.991246,-0.207357]
[0.393195,-1.346503]
[1.782725,-0.955909]
[2.105695,2.719153]
[1.398345,2.579214]
[1.516324,-1.071234]
[0.190901,1.182709]
[1.639235,1.338513]
[0.630516,-1.867991]
[1.165269,2.918300]
[0.931752,1.944529]
[1.199880,0.382711]
[0.947497,-1.668258]
[1.567450,3.081582]
[0.573495,2.398024]
[1.791949,0.804321]
[0.702560,-0.832072]
[1.523014,-2.165994]
[2.230674,2.749330]
[1.539364,0.801389]
[0.394528,-1.152264]
[0.915181,-2.438648]
[1.532245,2.285008]
[1.459544,-0.124322]
[1.288668,-1.185476]
[1.439452,2.772176]
[0.645758,2.183882]
[0.930523,-2.140285]
[2.071791,1.328932]
[1.078339,-1.753732]
[1.228653,2.364356]
[0.566680,0.217167]
[0.256700,2.753656]
[0.464297,2.455231]
[1.918351,1.755209]
[0.712235,-0.775486]
[1.657496,-1.925911]
[0.984355,2.784968]
[0.903042,1.532542]
[0.554837,-0.413855]
[0.356874,-2.089950]
[0.244003,2.845052]
[0.606870,-1.818436]
[1.026689,-2.221285]
[0.506309,2.655795]
[1.564765,1.093610]
[1.518828,-1.893763]
[0.397948,1.911108]
[0.417000,0.407142]
[0.270684,1.544628]
[0.734132,-2.694830]
[0.065692,2.427678]
[0.618724,2.443686]
[0.903766,-1.405444]
[0.752020,-0.460342]
[1.320669,2.838286]
[0.344370,-1.116701]
[0.503770,-1.986733]
[1.472003,2.271427]
[0.425877,2.082317]
[1.393868,-1.390423]
[0.388540,0.950433]
[0.685068,-2.230094]
[1.581363,2.564002]
[1.214918,0.959711]
[0.650490,-2.699068]
[0.639974,-1.271364]
[0.312053,-0.053398]
[0.596454,-2.430479]
[0.896792,-2.246317]
[1.219599,1.700465]
[0.671744,0.791223]
[1.393441,-1.200533]
[0.882645,-2.712547]
[0.870931,-3.096071]
[0.512856,0.163075]
[0.968897,1.973154]
[0.328713,1.311718]
[0.948708,-0.163859]
[1.009824,-3.051438]
[0.620491,-2.728804]
[0.972286,0.832480]
[0.922547,-0.038605]
[1.181939,-2.145469]
[0.884731,1.959142]
[0.274832,0.770299]
[0.514314,-0.737800]
[1.026975,-1.051107]
[0.596828,1.011873]
[0.950422,-1.946856]
[0.681445,-0.049697]
[0.958700,-0.863963]
[1.223415,-2.355825]
[1.369285,2.894224]
[0.842590,1.986141]
[1.376962,-0.693033]
[1.328673,-1.795315]
